Nooh,Alavi,noohalavi@alavimail.com,assignment16
John,Doe,johndoe@alavimail.com,abc123
Brandan,Higgins,brandanhiggins@alavimail.com,train412
Kester,McGill,kestermcgill@alavimail.com,Qwerty123
Courtney,Lynch,courtneylynch@alavimail.com,iloveyou
Travis,Mosley,travism@alavimail.com,1q2w3e
Abdulrahman,Ahmad,ahmadabdulrahman@alavimail.com,q1w2e3r4
Owen,Briggs,owenissmart@alavimail.com,seahawksrule1
Hafiz,Ibrahim,hzibrahim@alavimail.com,passwordpassword
Arnaud,Géroux,arnaudgeroux@alavimail.com,baguette12
Pénélope,Bureau,penelopebureau@alavimail.com,LaFleur9$
John,Watson,drjhwatson@alavimail.com,Mary221b
Jaden,Tompson,jadentompson@alavimail.com,hi
Amin,Tatiana,amintatiana7@alavimail.com,theBestCity111
Tony,Stark,anthonyhstark@alavimail.com,JARVISPotts1
William,Murdoch,williammurdoch@alavimail.com,murdochmysteries15
Humd,Cubing,humdcubing@alavimail.com,humdcubing
Molly,Hooper,drmhooper@alavimail.com,Sherlock79
